crop,region,kebele,year,ndvi_peak,ndvi_scale,ndvi_seasonal_avg,ndvi_start_of_season,ndvi_end_of_season,ndvi_integral,ndvi_threshold,ndvi_anomaly_avg
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2013,0.4163276425661917,0.4163276425661917,0.3467979986634422,97,,2.7743839893075375,0.2999114943991855,0.8312506150706085
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2014,0.3221976552953158,0.3221976552953158,0.25635972696028525,97,,2.050877815682282,0.2311613238289206,-1.2892912745791003
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2015,0.4402772403258658,0.4402772403258658,0.25468998504327905,81,,2.0375198803462324,0.197849632892057,-1.3284423730381396
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2016,0.4421982331975561,0.4421982331975561,0.3504990348141549,97,,2.803992278513239,0.26365540580448066,0.9180302720111364
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,0.3454729989816702,0.3454729989816702,0.28053215885947047,81,,2.2442572708757638,0.24112189256619143,-0.7225107130799596
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,0.4259083172097762,0.4259083172097762,0.3055752259419553,97,,2.4446018075356424,0.22929083757637467,-0.13531602444170854
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2019,0.4498515656822814,0.4498515656822814,0.3376317827138494,97,,2.7010542617107953,0.27371558961303477,0.6163267280409512
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2020,0.4314073039714868,0.4314073039714868,0.3555628685081468,81,,2.8445029480651742,0.29934093737270884,1.0367639814032696
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2021,0.4204829989816701,0.4204829989816701,0.32065032904786156,65,,2.5652026323828925,0.24791103360488803,0.21815587439983875
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2022,0.3253379251527496,0.3253379251527496,0.26349859979633417,81,,2.1079887983706733,0.23898572556008155,-1.1219033025553524
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2024,0.40468033604888,0.40468033604888,0.33688311895366607,97,,2.6950649516293286,0.2994821109979634,0.5987725130517231
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2025,0.3809520137474546,0.3809520137474546,0.3282874194882893,81,,2.6262993559063146,0.29498997759674145,0.3972257514439962
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2010,0.5656554721030045,0.5656554721030045,0.43012525193553824,177,321.0,5.161503023226459,0.3478219414289321,0.8994910130595692
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2011,0.5877799955819238,0.5877799955819238,0.45344167034839683,177,321.0,5.441300044180762,0.3915640753597577,2.068432370828803
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,0.5979227657157283,0.5979227657157283,0.43029728051628374,177,321.0,5.163567366195405,0.34205795695531427,0.9081154646880775
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,0.5540852594041911,0.5540852594041911,0.4217519778780612,177,321.0,5.061023734536734,0.32794185811663723,0.47970671461331604
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,0.5785485451906085,0.5785485451906085,0.4260398565703105,193,337.0,5.112478278843726,0.35074713456197937,0.6946744961875018
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,0.5499650246149963,0.5499650246149963,0.43284338813851725,177,321.0,5.194120657662207,0.3215723245392579,1.0357615914756668
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,0.5172847008331231,0.5172847008331231,0.40419308439577556,177,321.0,4.850317012749307,0.3268066555162839,-0.40058786685589276
